Pixel,Wavenumber
0,1838.39
1,1839.49
2,1840.59
3,1841.69
4,1842.79
5,1843.9
6,1845
7,1846.11
8,1847.21
9,1848.32
10,1849.43
11,1850.54
12,1851.65
13,1852.77
14,1853.88
15,1855
16,1856.12
17,1857.24
18,1858.36
19,1859.48
20,1860.6
21,1861.73
22,1862.85
23,1863.98
24,1865.11
25,1866.24
26,1867.37
27,1868.5
28,1869.64
29,1870.77
30,1871.91
31,1873.05
32,1874.19
33,1875.33
34,1876.47
35,1877.61
36,1878.76
37,1879.91
38,1881.05
39,1882.2
40,1883.35
41,1884.51
42,1885.66
43,1886.82
44,1887.97
45,1889.13
46,1890.29
47,1891.45
48,1892.61
49,1893.78
50,1894.94
51,1896.11
52,1897.28
53,1898.44
54,1899.62
55,1900.79
56,1901.96
57,1903.14
58,1904.31
59,1905.49
60,1906.67
61,1907.85
62,1909.03
63,1910.22
64,1911.4
65,1912.59
66,1913.78
67,1914.97
68,1916.16
69,1917.35
70,1918.55
71,1919.74
72,1920.94
73,1922.14
74,1923.34
75,1924.54
76,1925.74
77,1926.95
78,1928.15
79,1929.36
80,1930.57
81,1931.78
82,1932.99
83,1934.21
84,1935.42
85,1936.64
86,1937.86
87,1939.08
88,1940.3
89,1941.52
90,1942.75
91,1943.97
92,1945.2
93,1946.43
94,1947.66
95,1948.89
96,1950.13
97,1951.36
98,1952.6
99,1953.84
100,1955.08
101,1956.32
102,1957.56
103,1958.81
104,1960.05
105,1961.3
106,1962.55
107,1963.8
108,1965.06
109,1966.31
110,1967.57
111,1968.82
112,1970.08
113,1971.34
114,1972.61
115,1973.87
116,1975.14
117,1976.4
118,1977.67
119,1978.94
120,1980.21
121,1981.49
122,1982.76
123,1984.04
124,1985.32
125,1986.6
126,1987.88
127,1989.17
128,1942.9
129,1944
130,1945.1
131,1946.2
132,1947.3
133,1948.4
134,1949.5
135,1950.61
136,1951.71
137,1952.82
138,1953.93
139,1955.04
140,1956.15
141,1957.26
142,1958.37
143,1959.49
144,1960.6
145,1961.72
146,1962.84
147,1963.96
148,1965.08
149,1966.2
150,1967.32
151,1968.45
152,1969.57
153,1970.7
154,1971.83
155,1972.96
156,1974.09
157,1975.22
158,1976.35
159,1977.49
160,1978.63
161,1979.76
162,1980.9
163,1982.04
164,1983.18
165,1984.33
166,1985.47
167,1986.62
168,1987.76
169,1988.91
170,1990.06
171,1991.21
172,1992.36
173,1993.52
174,1994.67
175,1995.83
176,1996.98
177,1998.14
178,1999.3
179,2000.46
180,2001.63
181,2002.79
182,2003.96
183,2005.12
184,2006.29
185,2007.46
186,2008.63
187,2009.8
188,2010.98
189,2012.15
190,2013.33
191,2014.51
192,2015.68
193,2016.87
194,2018.05
195,2019.23
196,2020.42
197,2021.6
198,2022.79
199,2023.98
200,2025.17
201,2026.36
202,2027.55
203,2028.75
204,2029.94
205,2031.14
206,2032.34
207,2033.54
208,2034.74
209,2035.94
210,2037.15
211,2038.35
212,2039.56
213,2040.77
214,2041.98
215,2043.19
216,2044.4
217,2045.62
218,2046.83
219,2048.05
220,2049.27
221,2050.49
222,2051.71
223,2052.93
224,2054.16
225,2055.38
226,2056.61
227,2057.84
228,2059.07
229,2060.3
230,2061.54
231,2062.77
232,2064.01
233,2065.25
234,2066.48
235,2067.73
236,2068.97
237,2070.21
238,2071.46
239,2072.7
240,2073.95
241,2075.2
242,2076.45
243,2077.71
244,2078.96
245,2080.22
246,2081.47
247,2082.73
248,2083.99
249,2085.25
250,2086.52
251,2087.78
252,2089.05
253,2090.32
254,2091.59
255,2092.86
